Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz
 2024-12-17 5:5:30.991	-0.001	0.0015	1.0	0.0	0.0	0.0	0.055	0.038	-171.667	28.17	7199	54794	53114
 2024-12-17 5:5:31.11	-0.001	0.001	0.9995	0.0	0.0	0.0	0.055	0.038	-171.667	28.18	7209	54802	53090
 2024-12-17 5:5:31.31	-0.0015	0.0015	0.999	0.0	0.0	0.0	0.055	0.038	-171.667	28.18	7208	54810	53093
 2024-12-17 5:5:31.56	-0.0005	0.0	1.0	0.0	0.0	0.0	0.055	0.038	-171.667	28.17	7210	54811	53085
 2024-12-17 5:5:31.76	0.0	0.0	0.999	0.0	0.0	0.0	0.055	0.038	-171.667	28.2	7210	54798	53079
 2024-12-17 5:5:31.96	0.0	0.0005	0.9995	0.0	0.0	0.0	0.055	0.038	-171.667	28.17	7200	54791	53093
 2024-12-17 5:5:31.116	-0.0005	0.0005	0.999	0.0	0.0	0.0	0.055	0.038	-171.667	28.15	7201	54788	53097
 2024-12-17 5:5:31.136	-0.0005	0.0005	0.999	0.0	0.0	0.0	0.055	0.038	-171.667	28.13	7206	54776	53098
 2024-12-17 5:5:31.161	-0.0005	0.001	1.0	0.0	0.0	0.0	0.055	0.038	-171.667	28.2	7201	54784	53086
 2024-12-17 5:5:31.181	-0.001	0.0005	0.9995	0.0	0.0	0.0	0.055	0.038	-171.667	28.17	7192	54788	53094
 2024-12-17 5:5:31.201	0.0	0.0005	0.999	0.0	0.0	0.0	0.055	0.038	-171.667	28.21	7192	54791	53105
 2024-12-17 5:5:31.221	0.0	0.0005	0.9995	0.0	0.0	0.0	0.055	0.038	-171.667	28.2	7202	54795	53126
 2024-12-17 5:5:31.246	0.0	0.001	0.999	0.0	0.0	0.0	0.049	0.038	-171.667	28.18	7210	54794	53123
 2024-12-17 5:5:31.266	-0.0005	0.0005	0.9995	0.0	0.0	0.0	0.049	0.038	-171.667	28.17	7186	54795	53100
 2024-12-17 5:5:31.286	0.0	0.001	0.9995	0.0	0.0	0.0	0.049	0.038	-171.667	28.17	7202	54795	53118
 2024-12-17 5:5:31.306	-0.0005	0.001	0.9985	0.0	0.0	0.0	0.049	0.038	-171.667	28.17	7205	54786	53114
 2024-12-17 5:5:31.326	0.0	0.0015	0.999	0.0	0.0	0.0	0.049	0.038	-171.667	28.18	7198	54782	53113
 2024-12-17 5:5:31.351	0.0	0.001	0.9995	0.0	0.0	0.0	0.049	0.038	-171.667	28.17	7198	54786	53109
 2024-12-17 5:5:31.371	0.0	0.0005	0.999	0.0	0.0	0.0	0.049	0.038	-171.667	28.17	7210	54789	53115
 2024-12-17 5:5:31.391	-0.0005	0.001	0.999	0.0	0.0	0.0	0.049	0.038	-171.667	28.15	7213	54795	53114
